firm_id,scenario,firm_size,route_complexity_z,market_pressure_z,digital_maturity_z,trust_barrier_z,idle_capacity_risk_z,asset_pool_likert,shared_crossdock_likert,freight_sharing_likert,chartering_likert,asset_sharing_index,contract_sharing_index,horizontal_info_sharing,horizontal_joint_planning,horizontal_goal_alignment,horizontal_collaboration_index,empty_backhaul_rate,vehicle_utilization_rate,matching_success_rate,collaboration_events_per_month,service_level_on_time_rate,emissions_intensity_index,ai_coordination_score
16,baseline_sporadic,small,1.053,-0.752,-0.848,0.307,-0.764,2,3,3,1,2.5,2.0,4.83,3.73,1.8,3.67,0.178,0.835,0.694,6,0.826,0.918,0.0
17,baseline_sporadic,small,-0.04,-0.319,0.573,0.452,0.986,5,3,1,1,4.0,1.0,4.15,2.42,1.0,2.72,0.143,0.875,0.648,3,0.849,0.888,0.0
18,baseline_sporadic,small,0.682,-0.796,-1.786,0.791,-1.449,1,2,1,2,1.5,1.5,3.33,2.91,1.28,1.91,0.229,0.75,0.597,3,0.893,0.95,0.0
19,baseline_sporadic,small,0.028,1.076,-0.36,-0.294,-1.55,2,1,2,2,1.5,2.0,3.98,3.99,3.2,2.6,0.222,0.727,0.631,6,0.856,0.909,0.0
20,baseline_sporadic,small,0.03,0.021,0.301,-0.314,1.239,2,3,1,3,2.5,2.0,3.64,5.0,1.42,4.8,0.059,0.856,0.785,6,0.859,0.919,0.0
21,baseline_sporadic,small,0.938,1.901,0.184,-0.65,1.007,3,1,2,2,2.0,2.0,5.0,3.82,2.34,5.0,0.161,0.833,0.647,10,0.886,0.916,0.0
22,baseline_sporadic,small,-0.516,-0.061,2.5,-0.84,0.443,3,2,2,1,2.5,1.5,5.0,4.64,2.4,4.06,0.097,0.876,0.755,7,0.871,0.93,0.0
23,baseline_sporadic,small,0.096,-0.708,0.35,-0.496,-0.895,2,1,1,2,1.5,1.5,5.0,4.07,1.82,3.67,0.254,0.714,0.723,6,0.85,0.93,0.0
24,baseline_sporadic,small,-0.462,-1.514,-1.004,0.744,-0.208,3,3,2,2,3.0,2.0,3.13,3.9,1.81,3.24,0.123,0.866,0.609,5,0.868,0.941,0.0
25,baseline_sporadic,small,-0.434,-1.803,-0.095,-0.204,0.237,3,1,2,2,2.0,2.0,4.77,4.74,2.25,3.62,0.174,0.862,0.65,7,0.849,0.91,0.0
26,baseline_sporadic,medium,-0.309,-1.584,-1.776,1.062,-1.096,1,1,1,1,1.0,1.0,1.68,2.33,1.14,1.0,0.221,0.69,0.539,1,0.833,0.929,0.0
27,baseline_sporadic,small,0.222,0.267,-0.081,0.631,-0.239,1,1,2,1,1.0,1.5,3.38,2.78,1.0,1.98,0.184,0.748,0.517,6,0.853,0.998,0.0
28,baseline_sporadic,small,-0.479,0.509,-0.833,-1.172,1.152,2,2,4,2,2.0,3.0,5.0,4.87,2.83,4.97,0.084,0.884,0.78,11,0.851,0.918,0.0
29,baseline_sporadic,small,1.256,-1.581,0.915,1.189,1.927,5,1,4,3,3.0,3.5,2.96,3.78,2.89,3.24,0.172,0.861,0.774,8,0.866,0.925,0.0
30,baseline_sporadic,small,-0.895,0.895,-0.55,1.33,0.081,2,1,1,2,1.5,1.5,2.82,3.41,2.1,2.13,0.209,0.769,0.548,2,0.863,0.955,0.0
31,baseline_sporadic,small,-0.187,-0.483,-0.117,-0.294,1.256,3,2,3,2,2.5,2.5,4.18,3.87,1.93,4.77,0.18,0.866,0.634,8,0.878,0.941,0.0
32,baseline_sporadic,small,-0.44,0.147,-0.636,0.978,-1.414,3,1,1,1,2.0,1.0,2.63,3.28,1.0,1.87,0.195,0.793,0.644,5,0.882,0.947,0.0
33,baseline_sporadic,small,1.447,1.612,1.739,-0.171,1.159,3,1,3,2,2.0,2.5,4.9,4.15,2.13,4.17,0.17,0.805,0.712,8,0.855,0.904,0.0
34,baseline_sporadic,medium,0.197,0.897,-0.321,0.688,-0.304,1,1,2,2,1.0,2.0,4.16,3.55,2.73,3.2,0.175,0.754,0.603,4,0.869,0.928,0.0
35,baseline_sporadic,large,1.032,-0.269,1.833,-0.538,0.807,1,1,3,2,1.0,2.5,4.45,3.8,2.65,4.11,0.165,0.882,0.73,6,0.875,0.974,0.0
36,baseline_sporadic,medium,-1.486,-0.891,0.814,-1.014,0.252,3,2,2,2,2.5,2.0,5.0,4.28,2.95,4.5,0.086,0.933,0.803,7,0.879,0.958,0.0
37,baseline_sporadic,small,0.267,-2.152,0.482,0.255,1.82,2,1,2,2,1.5,2.0,3.96,3.78,2.53,3.3,0.177,0.731,0.771,5,0.854,0.982,0.0
38,baseline_sporadic,small,0.89,-0.719,0.369,0.489,-0.374,2,1,1,2,1.5,1.5,3.56,3.56,2.08,3.02,0.175,0.737,0.503,7,0.835,0.962,0.0
39,baseline_sporadic,small,0.082,-0.211,0.394,0.242,1.128,1,2,2,2,1.5,2.0,3.11,3.71,2.07,2.39,0.194,0.801,0.678,2,0.871,0.928,0.0
40,baseline_sporadic,small,1.065,-0.987,-1.928,-0.466,0.22,1,1,2,2,1.0,2.0,4.54,5.0,2.54,4.59,0.187,0.813,0.729,7,0.829,0.907,0.0
41,baseline_sporadic,small,-0.517,-0.131,-0.279,0.24,0.342,2,3,3,2,2.5,2.5,4.46,3.42,1.93,4.41,0.129,0.834,0.721,6,0.861,0.887,0.0
42,baseline_sporadic,small,1.409,0.077,0.845,0.842,0.316,2,3,3,3,2.5,3.0,4.54,4.05,1.32,3.19,0.199,0.897,0.785,5,0.814,0.906,0.0
43,baseline_sporadic,small,2.299,-0.225,-0.049,0.56,-0.346,1,1,1,2,1.0,1.5,2.75,2.07,2.17,2.06,0.237,0.738,0.616,1,0.829,1.028,0.0
44,baseline_sporadic,medium,-0.363,-0.65,-1.405,0.764,0.486,3,2,2,1,2.5,1.5,3.12,3.81,2.64,3.29,0.182,0.847,0.525,4,0.84,0.99,0.0
45,baseline_sporadic,small,-0.446,0.169,-0.052,-0.003,0.437,2,2,3,2,2.0,2.5,4.15,3.31,1.58,3.23,0.204,0.908,0.819,8,0.888,0.944,0.0
46,baseline_sporadic,small,1.453,0.442,1.704,1.655,0.741,1,1,3,1,1.0,2.0,2.07,2.75,2.0,1.66,0.256,0.752,0.432,3,0.863,0.949,0.0
47,baseline_sporadic,small,1.58,-1.09,1.247,-0.459,0.585,2,1,2,1,1.5,1.5,3.03,3.55,3.12,3.42,0.24,0.78,0.556,4,0.843,0.989,0.0
48,baseline_sporadic,small,-0.523,1.411,-0.062,1.039,1.298,2,1,2,2,1.5,2.0,2.95,3.57,1.76,1.62,0.17,0.85,0.576,5,0.874,0.921,0.0
49,baseline_sporadic,small,-0.42,-0.099,0.951,1.664,1.424,2,1,2,2,1.5,2.0,3.54,2.66,1.09,2.03,0.183,0.838,0.7,5,0.88,0.864,0.0
50,baseline_sporadic,small,-0.282,0.019,-0.367,1.033,-0.551,3,1,1,1,2.0,1.0,2.67,2.64,1.71,1.39,0.161,0.72,0.52,3,0.854,0.953,0.0
51,baseline_sporadic,large,-1.344,0.708,-1.704,0.418,1.369,2,2,2,1,2.0,1.5,2.73,4.64,1.59,3.42,0.167,0.861,0.593,8,0.833,0.9,0.0
52,baseline_sporadic,medium,-0.919,0.233,-0.924,0.125,-0.686,2,1,3,1,1.5,2.0,3.17,3.98,1.67,2.71,0.17,0.791,0.721,6,0.859,0.904,0.0
53,baseline_sporadic,medium,-1.004,0.953,1.563,1.532,1.088,1,1,3,1,1.0,2.0,2.87,2.59,1.8,1.55,0.182,0.801,0.537,4,0.855,0.933,0.0
54,baseline_sporadic,medium,-0.768,0.287,-0.274,-0.681,1.12,3,2,2,3,2.5,2.5,4.51,4.39,1.57,5.0,0.142,0.929,0.697,7,0.842,0.888,0.0
55,baseline_sporadic,small,-0.035,-0.612,-0.243,-0.273,-1.411,2,2,2,2,2.0,2.0,5.0,5.0,1.37,4.38,0.113,0.793,0.696,8,0.873,0.909,0.0
56,baseline_sporadic,medium,0.234,0.362,-0.3,0.242,0.593,2,1,2,2,1.5,2.0,4.51,3.54,2.01,2.71,0.228,0.79,0.753,5,0.866,0.945,0.0
57,baseline_sporadic,small,1.551,-1.144,1.904,1.714,0.032,1,2,2,1,1.5,1.5,3.84,2.34,1.45,1.17,0.254,0.728,0.566,3,0.862,0.917,0.0
58,baseline_sporadic,small,-0.998,0.109,1.626,0.942,-0.259,4,1,2,1,2.5,1.5,4.62,2.94,2.05,2.63,0.154,0.81,0.762,4,0.871,0.964,0.0
59,baseline_sporadic,small,0.984,-0.033,2.219,-0.271,1.851,2,2,3,3,2.0,3.0,4.23,4.06,3.56,4.51,0.134,0.883,0.802,8,0.884,0.871,0.0
60,baseline_sporadic,small,-0.214,-0.208,-0.159,0.321,-0.154,1,1,2,2,1.0,2.0,2.74,3.11,1.97,2.66,0.197,0.82,0.561,4,0.854,0.914,0.0
61,baseline_sporadic,small,-0.049,-0.129,0.296,0.047,-0.306,2,1,2,1,1.5,1.5,3.02,2.64,2.32,2.26,0.238,0.77,0.607,2,0.86,0.951,0.0
62,baseline_sporadic,small,0.675,-1.882,-1.517,-0.039,0.576,1,1,2,3,1.0,2.5,4.7,3.07,1.53,2.66,0.186,0.799,0.651,7,0.852,0.933,0.0
63,baseline_sporadic,medium,-1.123,-0.549,1.477,1.481,1.186,1,3,3,2,2.0,2.5,3.3,2.86,2.27,2.53,0.144,0.908,0.59,3,0.851,0.956,0.0
64,baseline_sporadic,small,0.382,0.093,-1.168,-0.635,0.358,1,1,2,2,1.0,2.0,3.1,4.43,1.87,3.36,0.185,0.809,0.917,6,0.895,0.93,0.0
65,baseline_sporadic,small,0.166,0.16,0.217,2.048,1.666,3,3,4,2,3.0,3.0,3.35,3.39,1.93,3.72,0.17,0.909,0.73,7,0.824,0.931,0.0
66,baseline_sporadic,small,0.492,-1.028,-1.097,1.345,1.031,1,2,3,1,1.5,2.0,2.88,3.06,1.61,2.02,0.179,0.737,0.629,4,0.877,0.951,0.0
67,baseline_sporadic,small,0.289,1.266,-0.589,1.582,-1.678,4,1,1,1,2.5,1.0,3.13,3.92,2.17,3.2,0.181,0.82,0.508,4,0.844,0.947,0.0
68,baseline_sporadic,medium,2.455,-0.866,-0.837,0.183,-0.029,1,2,2,2,1.5,2.0,3.9,4.71,1.23,2.73,0.256,0.764,0.749,5,0.844,0.97,0.0
69,baseline_sporadic,small,-0.638,0.969,-0.608,0.465,-0.062,1,3,2,1,2.0,1.5,3.0,3.33,1.0,1.79,0.183,0.84,0.667,5,0.867,0.872,0.0
70,baseline_sporadic,large,-0.531,0.427,-0.539,-0.69,0.979,2,1,2,3,1.5,2.5,4.9,3.86,2.25,3.61,0.181,0.85,0.863,8,0.838,0.911,0.0
71,baseline_sporadic,medium,-0.623,-0.646,-0.548,0.128,-2.125,2,1,3,3,1.5,3.0,3.7,3.52,2.52,4.07,0.101,0.806,0.821,9,0.854,0.932,0.0
72,baseline_sporadic,small,-0.555,1.775,0.833,1.044,2.5,2,1,3,1,1.5,2.0,3.39,3.87,1.85,3.43,0.154,0.757,0.516,5,0.841,1.056,0.0
73,baseline_sporadic,small,-0.637,-1.194,-1.105,1.766,1.031,2,1,2,1,1.5,1.5,3.12,2.68,2.18,1.27,0.238,0.793,0.471,3,0.847,0.928,0.0
74,baseline_sporadic,medium,1.189,0.919,0.221,-0.396,0.649,1,1,3,1,1.0,2.0,3.6,3.59,2.38,3.07,0.179,0.745,0.594,4,0.842,0.956,0.0
75,baseline_sporadic,small,1.421,1.001,1.218,0.271,1.682,1,2,2,2,1.5,2.0,3.59,3.09,1.66,2.26,0.197,0.779,0.585,5,0.889,0.929,0.0
76,baseline_sporadic,small,-0.571,-0.671,-0.513,0.464,2.5,1,3,2,2,2.0,2.0,4.18,3.16,1.0,2.06,0.173,0.817,0.686,6,0.898,0.989,0.0
77,baseline_sporadic,medium,-0.832,1.392,-0.718,-0.656,1.371,1,2,2,2,1.5,2.0,3.6,4.36,2.13,4.15,0.119,0.838,0.645,6,0.824,0.868,0.0
78,baseline_sporadic,small,0.471,-0.25,-0.231,1.132,1.449,2,1,2,2,1.5,2.0,3.02,2.33,2.35,2.21,0.176,0.776,0.715,5,0.873,0.951,0.0
79,baseline_sporadic,small,-0.552,0.289,1.18,-0.052,0.631,2,1,1,1,1.5,1.0,4.19,4.19,1.66,3.19,0.191,0.745,0.727,4,0.879,0.899,0.0
80,baseline_sporadic,small,0.633,0.26,0.194,0.424,0.358,2,2,3,1,2.0,2.0,5.0,3.36,2.04,2.7,0.178,0.801,0.693,6,0.873,0.922,0.0
81,baseline_sporadic,medium,0.203,-0.134,-0.531,0.193,0.024,3,1,4,2,2.0,3.0,4.69,4.15,2.54,4.84,0.162,0.869,0.87,9,0.856,0.908,0.0
82,baseline_sporadic,small,-1.516,0.811,0.484,-0.11,-0.326,3,3,2,2,3.0,2.0,4.86,3.25,1.72,3.71,0.162,0.88,0.83,8,0.863,0.942,0.0
83,baseline_sporadic,small,1.548,0.793,-1.102,0.594,-0.187,1,3,1,1,2.0,1.0,3.63,3.27,2.15,2.94,0.187,0.735,0.558,4,0.842,0.917,0.0
84,baseline_sporadic,small,1.796,-1.749,0.681,0.406,-0.851,1,2,1,1,1.5,1.0,2.73,3.0,2.74,1.68,0.242,0.694,0.43,2,0.84,1.0,0.0
85,baseline_sporadic,small,-0.613,1.304,0.409,0.265,0.424,2,2,2,2,2.0,2.0,4.1,3.79,1.97,3.27,0.172,0.875,0.659,5,0.838,0.923,0.0
86,baseline_sporadic,small,-0.388,-1.662,-0.308,-0.056,-1.185,1,2,1,2,1.5,1.5,3.74,4.75,1.31,3.44,0.221,0.796,0.591,6,0.854,0.96,0.0
87,baseline_sporadic,small,0.286,1.033,-0.839,0.888,0.691,1,2,3,2,1.5,2.5,3.74,3.76,1.87,3.01,0.186,0.86,0.664,8,0.832,0.957,0.0
88,baseline_sporadic,small,0.334,1.127,-0.887,2.088,0.464,1,1,3,1,1.0,2.0,2.6,2.16,1.0,1.08,0.215,0.806,0.53,2,0.851,0.914,0.0
89,baseline_sporadic,medium,0.659,-1.091,0.535,0.726,0.647,2,1,1,2,1.5,1.5,3.72,2.76,1.96,2.67,0.219,0.799,0.601,5,0.832,0.975,0.0
90,baseline_sporadic,small,2.01,-0.411,1.229,1.497,-0.022,2,1,2,1,1.5,1.5,2.92,3.4,1.8,1.33,0.253,0.733,0.574,2,0.857,0.955,0.0
91,baseline_sporadic,small,-0.177,-1.106,-0.637,-0.651,2.5,2,2,4,3,2.0,3.5,4.93,5.0,3.65,5.0,0.076,0.937,0.751,8,0.858,0.91,0.0
92,baseline_sporadic,small,-0.798,-0.215,0.458,0.742,1.86,3,2,4,2,2.5,3.0,3.4,4.35,2.09,3.58,0.118,0.937,0.732,6,0.875,0.902,0.0
93,baseline_sporadic,medium,-1.379,-0.308,-2.087,-0.388,-0.745,2,1,4,1,1.5,2.5,3.8,4.72,2.54,4.08,0.173,0.878,0.678,4,0.885,0.915,0.0
94,baseline_sporadic,small,-0.731,0.78,-0.585,-0.729,0.733,1,1,2,2,1.0,2.0,5.0,4.49,1.7,4.01,0.155,0.864,0.721,8,0.897,0.897,0.0
95,baseline_sporadic,medium,-0.033,1.31,-0.031,-0.065,-0.108,3,1,5,2,2.0,3.5,4.88,5.0,2.26,3.89,0.121,0.923,0.856,5,0.822,0.913,0.0
96,baseline_sporadic,small,1.795,1.396,-0.91,1.673,-0.514,1,1,2,1,1.0,1.5,2.55,1.29,1.0,1.0,0.234,0.68,0.436,2,0.833,1.016,0.0
97,baseline_sporadic,small,-0.518,-0.562,-0.937,1.455,-0.84,1,2,1,1,1.5,1.0,3.99,3.27,1.32,1.0,0.141,0.771,0.53,1,0.853,0.914,0.0
98,baseline_sporadic,small,0.224,-0.209,-0.668,0.819,0.932,2,1,3,1,1.5,2.0,2.45,4.19,1.65,2.91,0.178,0.802,0.579,4,0.868,0.903,0.0
99,baseline_sporadic,small,-0.016,-1.683,0.292,-0.779,-0.181,1,2,1,2,1.5,1.5,3.47,2.97,2.39,3.8,0.186,0.797,0.619,8,0.826,0.959,0.0
100,baseline_sporadic,small,1.188,-0.806,-0.187,0.423,1.468,3,1,3,2,2.0,2.5,5.0,3.3,1.75,3.9,0.145,0.815,0.777,7,0.847,0.871,0.0
101,baseline_sporadic,small,2.5,0.965,-2.238,0.872,1.494,1,1,1,1,1.0,1.0,2.67,2.27,1.59,1.73,0.223,0.681,0.472,2,0.854,0.933,0.0
102,baseline_sporadic,small,-0.531,1.616,-2.121,0.758,1.874,3,1,3,2,2.0,2.5,3.37,3.26,1.82,1.81,0.129,0.867,0.627,4,0.866,0.878,0.0
103,baseline_sporadic,small,-0.489,-1.234,-0.607,-1.059,-0.352,3,1,3,2,2.0,2.5,3.93,4.27,2.37,3.93,0.158,0.904,0.708,7,0.873,0.899,0.0
104,baseline_sporadic,small,1.044,-0.592,0.458,-0.201,0.975,1,2,2,2,1.5,2.0,4.44,4.1,2.18,3.75,0.24,0.813,0.752,6,0.869,0.909,0.0
105,baseline_sporadic,medium,0.682,-0.026,-2.5,0.542,1.132,1,1,3,3,1.0,3.0,3.86,4.51,2.06,3.33,0.205,0.847,0.654,6,0.867,0.879,0.0
106,baseline_sporadic,small,1.847,0.28,-0.5,1.083,0.026,3,1,2,2,2.0,2.0,2.66,4.27,2.28,2.58,0.156,0.825,0.624,7,0.866,0.89,0.0
107,baseline_sporadic,small,0.584,-0.81,-0.526,-1.377,-0.272,1,1,3,2,1.0,2.5,4.55,3.89,2.44,4.54,0.189,0.823,0.87,5,0.868,0.943,0.0
108,baseline_sporadic,medium,-0.359,0.424,1.388,0.454,2.11,2,3,1,2,2.5,1.5,3.8,3.04,1.78,3.0,0.142,0.778,0.636,5,0.876,0.886,0.0
109,baseline_sporadic,small,0.591,-0.474,-0.385,0.729,0.727,1,1,3,2,1.0,2.5,3.7,4.56,1.77,3.0,0.161,0.85,0.708,5,0.82,0.909,0.0
110,baseline_sporadic,small,1.109,-0.014,0.383,1.365,1.136,2,1,2,2,1.5,2.0,2.47,3.7,1.24,1.67,0.189,0.735,0.665,5,0.891,1.003,0.0
111,baseline_sporadic,small,0.82,0.546,0.141,1.224,-0.322,2,2,2,1,2.0,1.5,4.15,3.26,1.47,2.95,0.21,0.755,0.667,5,0.815,0.948,0.0
112,baseline_sporadic,small,0.507,0.006,-2.131,1.124,-0.719,2,4,3,2,3.0,2.5,4.28,4.25,3.28,3.48,0.165,0.798,0.702,7,0.842,0.937,0.0
113,baseline_sporadic,medium,1.067,-0.436,0.768,-0.12,-0.069,1,1,1,1,1.0,1.0,3.38,3.33,1.29,1.91,0.231,0.73,0.615,4,0.851,0.934,0.0
114,baseline_sporadic,medium,1.169,-0.11,0.215,-1.117,0.376,1,2,2,1,1.5,1.5,4.27,4.52,2.14,3.75,0.193,0.712,0.611,5,0.871,1.017,0.0
115,baseline_sporadic,small,1.382,-0.088,0.508,0.246,-0.564,2,1,1,1,1.5,1.0,3.45,3.06,1.57,2.35,0.239,0.694,0.532,5,0.792,0.958,0.0
116,baseline_sporadic,medium,0.649,-0.37,2.5,1.501,0.49,3,2,1,3,2.5,2.0,3.25,3.6,1.63,2.99,0.182,0.845,0.576,6,0.858,0.927,0.0
117,baseline_sporadic,medium,-0.167,-0.259,-2.084,1.854,-1.189,1,1,3,2,1.0,2.5,2.33,1.93,1.35,1.18,0.22,0.806,0.69,4,0.875,0.985,0.0
118,baseline_sporadic,small,0.147,1.599,1.725,1.239,-0.62,3,1,2,2,2.0,2.0,3.49,2.88,1.95,2.31,0.135,0.777,0.566,6,0.88,0.92,0.0
119,baseline_sporadic,medium,1.207,0.561,-0.287,0.986,1.171,2,2,1,1,2.0,1.0,4.29,2.6,1.0,1.64,0.221,0.723,0.54,4,0.84,0.965,0.0
120,baseline_sporadic,small,-0.817,-0.295,0.287,0.942,1.104,3,1,2,2,2.0,2.0,4.29,3.25,2.49,3.34,0.116,0.808,0.588,7,0.857,0.906,0.0
121,baseline_sporadic,medium,0.369,0.697,-0.046,0.099,0.108,2,3,1,2,2.5,1.5,4.67,3.14,2.47,3.23,0.169,0.79,0.715,6,0.851,0.92,0.0
122,baseline_sporadic,medium,-0.393,-0.334,-0.424,0.483,-0.518,1,2,1,2,1.5,1.5,3.7,3.01,1.08,2.45,0.178,0.792,0.615,4,0.852,0.948,0.0
123,baseline_sporadic,small,0.029,1.173,-0.57,2.102,-0.527,1,2,2,1,1.5,1.5,1.75,1.54,1.0,1.4,0.201,0.732,0.549,2,0.835,0.971,0.0
124,baseline_sporadic,small,1.278,0.37,0.33,-0.248,0.127,3,1,1,2,2.0,1.5,4.08,4.27,1.54,3.84,0.163,0.782,0.703,6,0.845,0.909,0.0
125,baseline_sporadic,small,0.191,-0.107,-1.517,2.053,1.145,1,1,3,1,1.0,2.0,3.12,2.71,1.24,1.0,0.16,0.688,0.459,2,0.863,0.928,0.0
126,baseline_sporadic,small,0.046,0.448,0.751,0.31,1.428,2,2,3,1,2.0,2.0,3.16,2.53,3.61,2.15,0.11,0.847,0.594,7,0.867,0.889,0.0
127,baseline_sporadic,medium,-1.36,-1.571,-0.416,1.793,0.003,2,1,2,2,1.5,2.0,3.35,2.39,1.86,1.69,0.162,0.826,0.656,4,0.872,0.883,0.0
128,baseline_sporadic,medium,0.746,-1.127,-1.13,-0.666,-0.653,1,1,2,1,1.0,1.5,5.0,4.05,1.02,2.98,0.193,0.786,0.664,5,0.864,0.892,0.0
129,baseline_sporadic,small,0.645,-1.194,-0.45,1.127,0.768,3,1,3,2,2.0,2.5,4.33,3.24,1.5,3.16,0.139,0.882,0.746,6,0.881,0.915,0.0
130,baseline_sporadic,small,2.163,0.143,1.257,-0.063,-0.324,1,1,3,3,1.0,3.0,5.0,3.61,2.19,3.73,0.222,0.768,0.734,11,0.878,0.977,0.0
131,baseline_sporadic,small,-0.308,1.733,-0.535,-0.674,-0.018,2,1,3,1,1.5,2.0,4.39,4.07,2.43,4.05,0.132,0.818,0.646,5,0.829,0.942,0.0
132,baseline_sporadic,small,0.219,2.231,0.358,0.797,1.825,2,3,3,1,2.5,2.0,4.54,3.97,1.2,2.91,0.202,0.753,0.661,4,0.842,0.876,0.0
133,baseline_sporadic,small,0.249,0.638,-0.731,1.509,1.327,3,1,2,2,2.0,2.0,2.66,2.19,1.62,2.68,0.22,0.934,0.521,3,0.852,0.931,0.0
134,baseline_sporadic,small,1.577,0.501,0.758,-0.16,0.658,3,3,3,2,3.0,2.5,5.0,4.88,2.02,5.0,0.079,0.872,0.742,8,0.87,0.853,0.0
135,baseline_sporadic,medium,-0.095,-1.801,0.686,-0.749,-0.772,2,3,1,1,2.5,1.0,4.87,3.41,1.59,3.77,0.174,0.854,0.703,6,0.85,0.927,0.0
136,baseline_sporadic,small,0.279,-0.543,1.849,0.517,0.711,2,1,2,2,1.5,2.0,4.15,3.58,2.08,3.19,0.163,0.754,0.679,5,0.88,0.92,0.0
137,baseline_sporadic,small,0.608,-0.788,-0.176,0.521,1.563,3,1,2,4,2.0,3.0,5.0,4.09,2.66,3.95,0.051,0.907,0.654,6,0.91,0.894,0.0
138,baseline_sporadic,small,0.187,-0.621,0.669,1.093,0.124,1,4,1,1,2.5,1.0,3.02,2.79,2.2,2.15,0.148,0.849,0.561,4,0.864,0.921,0.0
139,baseline_sporadic,small,-0.446,-0.168,0.098,1.455,1.851,3,3,2,1,3.0,1.5,3.31,2.58,2.11,1.97,0.185,0.816,0.566,3,0.86,0.882,0.0
140,baseline_sporadic,large,0.194,-0.472,1.296,0.547,1.793,2,2,3,3,2.0,3.0,4.41,3.89,1.89,3.03,0.202,0.816,0.692,7,0.878,0.909,0.0
141,baseline_sporadic,large,1.074,-1.979,-0.719,2.27,2.164,3,2,3,3,2.5,3.0,2.52,4.67,2.17,1.91,0.184,0.826,0.628,6,0.823,0.934,0.0
142,baseline_sporadic,small,-1.027,0.748,0.745,0.802,0.805,2,1,3,2,1.5,2.5,3.95,2.64,2.12,2.91,0.156,0.755,0.629,6,0.861,0.935,0.0
143,baseline_sporadic,small,0.133,-1.073,-0.195,0.288,1.087,3,2,1,1,2.5,1.0,2.51,4.81,2.02,2.86,0.183,0.788,0.662,6,0.88,0.894,0.0
144,baseline_sporadic,small,-0.7,0.239,-0.064,-0.85,1.914,3,1,4,2,2.0,3.0,5.0,4.54,2.24,3.48,0.174,0.916,0.875,9,0.857,0.861,0.0
